num of threads,time 1,time 2,time 3,time 4,time 5,average time
1,1.24312,1.08766,1.04387,1.08762,1.06609,1.1056739400000002
2,0.87424,0.83949,0.85121,0.86316,0.88239,0.8620971999999997
3,0.76468,0.75752,0.81102,0.75465,0.78141,0.7738560200000002
4,0.69898,0.70068,0.71191,0.69937,0.70867,0.7039214200000007
5,0.70403,0.72917,0.68609,0.69597,0.68388,0.6998288799999998
6,0.68571,0.65711,0.65122,0.65482,0.68936,0.6676434600000001
7,0.65228,0.64593,0.64324,0.64683,0.64825,0.6473087000000006
8,0.62186,0.62535,0.6502,0.65756,0.6378,0.6385543200000001
9,0.63375,0.61162,0.65565,0.7041,0.63125,0.6472731999999993
10,0.60584,0.62631,0.63838,0.71438,0.70245,0.6574743800000007
