num of threads,time 1,time 2,time 3,time 4,time 5,time 6,time 7,time 8,time 9,time 10,average time
1,0.06359,0.06616,0.05388,0.04013,0.03516,0.03544,0.03012,0.02804,0.03263,0.03399,0.04191295999999998
2,0.03068,0.03037,0.03267,0.02894,0.02376,0.02935,0.02827,0.02354,0.02755,0.04125,0.029638070000000072
3,0.03075,0.03368,0.0303,0.04102,0.02916,0.03914,0.02822,0.03251,0.03187,0.02999,0.03266391000000009
4,0.02376,0.03036,0.02885,0.02521,0.02404,0.0275,0.02206,0.02169,0.02145,0.02092,0.024584299999999983
5,0.02834,0.02406,0.02556,0.02508,0.02579,0.02342,0.02334,0.02198,0.02875,0.02466,0.02509706000000005
6,0.02332,0.02467,0.02348,0.02351,0.02104,0.02398,0.02299,0.02769,0.02181,0.02244,0.023492909999999957
7,0.02374,0.0205,0.02334,0.0246,0.02526,0.02347,0.02167,0.02409,0.02124,0.02446,0.023236970000000044
8,0.02016,0.02272,0.02255,0.02168,0.0194,0.02219,0.02383,0.02257,0.0259,0.02361,0.022460349999999973
9,0.02141,0.0208,0.01946,0.02491,0.02669,0.02476,0.02275,0.03009,0.02245,0.02405,0.02373646999999992
10,0.0193,0.0221,0.02251,0.02059,0.01951,0.01971,0.0225,0.02153,0.01952,0.02289,0.021015490000000005
11,0.02202,0.02242,0.0197,0.02332,0.0223,0.03306,0.02972,0.02496,0.0238,0.02287,0.02441708999999994
12,0.02195,0.02347,0.02823,0.02299,0.02778,0.02088,0.02646,0.02762,0.02896,0.02554,0.025388769999999995
13,0.02137,0.02278,0.02226,0.01953,0.01869,0.02307,0.02206,0.02245,0.02327,0.02182,0.021728749999999762
14,0.02297,0.02472,0.02208,0.02584,0.02154,0.02113,0.02292,0.02066,0.02443,0.0236,0.022989599999999923
15,0.02066,0.02691,0.02268,0.02132,0.02046,0.01964,0.02236,0.02911,0.02412,0.02198,0.02292449999999997
16,0.02488,0.02182,0.0199,0.02188,0.02665,0.02314,0.02297,0.02024,0.02684,0.02327,0.02315732999999991
17,0.01821,0.01974,0.02601,0.02049,0.0218,0.02087,0.02218,0.02204,0.02503,0.0206,0.021695600000000058
18,0.02303,0.02302,0.02167,0.02269,0.02239,0.02131,0.02502,0.01865,0.02011,0.02357,0.022146009999999983
19,0.02248,0.02018,0.02259,0.02298,0.02185,0.02218,0.02567,0.02479,0.02761,0.02485,0.02351656999999996
20,0.0222,0.02913,0.0249,0.02321,0.02289,0.02586,0.02453,0.02305,0.02407,0.0232,0.02430361999999997
