num of threads,lowest time,highest time,average time,stdev time
1,0.0069163,0.0410004,0.008480140000000002,0.0033784539182557713
2,0.0069881,0.0140047,0.008269043999999996,0.0011715199111781535
3,0.0069488,0.0094023,0.008114604000000001,0.0006105630064394036
4,0.0069873,0.0090171,0.00785972,0.0005323626276070919
5,0.0069896,0.0141853,0.008047061999999999,0.0010064329133362365
6,0.0069822,0.0090172,0.007888958000000003,0.0005866778988559741
7,0.0069847,0.0090096,0.007828685000000004,0.0005324743494319988
8,0.0069798,0.0092577,0.007986488000000003,0.0005417662963442312
9,0.0069821,0.0119987,0.008100811,0.000762708782861149
10,0.0069811,0.0125127,0.008087065,0.000743492290705414
11,0.0069843,0.0090089,0.007802673999999999,0.0005364456286041344
12,0.006984,0.0120011,0.007918932999999996,0.0008743034118489458
13,0.0069837,0.0090162,0.007879203999999999,0.000558566557516432
14,0.0069907,0.0090475,0.007940035000000002,0.0004480028118993194
15,0.0069803,0.0114075,0.008109722,0.0006991022964668707
16,0.0069855,0.0090105,0.007918515,0.00048794433247134774
17,0.0069844,0.0100008,0.00797891,0.0005333580332348634
18,0.0069916,0.0099963,0.008128952999999998,0.00046600726583293834
19,0.0069947,0.012001,0.008189205000000001,0.000775383895453267
20,0.0069983,0.0090136,0.008190101999999998,0.0004456441974300018
21,0.0069874,0.0092506,0.008211929,0.0004846562393724301
22,0.0069998,0.0130058,0.008387653999999998,0.0008213598520438499
23,0.0079837,0.0100101,0.008369454000000002,0.0005278146295008802
24,0.0079741,0.0100153,0.008320548,0.0004930717860084632
25,0.0070029,0.0090134,0.008410055999999999,0.0005168174414059708
26,0.007002,0.0139974,0.008550450999999999,0.0009044789383943608
27,0.0079856,0.0100016,0.008519943999999998,0.0005619199731512153
28,0.0079826,0.009599,0.008479362,0.000511269663528401
29,0.0079863,0.0130009,0.008624660000000003,0.0008696780099612159
30,0.0079815,0.0100071,0.008586650999999999,0.0005276927916148014
31,0.0079849,0.010009,0.008620784000000003,0.0005308541323588093
32,0.0079861,0.0130134,0.008792706,0.000823371705622802
33,0.0079845,0.010014,0.008612865999999999,0.0005502035957826168
34,0.0079883,0.0104186,0.008863958000000002,0.0005250215959348528
35,0.0079879,0.0130024,0.008960983999999996,0.0008167874123131009
36,0.0079851,0.0210064,0.008919731,0.0013401043585697257
37,0.0079806,0.0103251,0.008792920000000001,0.0005666420711239829
38,0.007985,0.0133701,0.008984075000000005,0.0007744434346090687
39,0.0079869,0.0101877,0.008855399,0.0005514053729811899
40,0.0079802,0.0100188,0.008820066000000001,0.0005773901134196425
41,0.0079805,0.010067,0.008962363,0.0004941812853180358
42,0.0079863,0.0139997,0.009069229,0.0007428916008171357
43,0.0079838,0.0100124,0.009010058999999999,0.0005243207804648531
44,0.0079915,0.0119887,0.009139285999999995,0.000569944435891816
