Number of Threads, Pass/Fail, Sequential Time (s), Parallel Time (s), Total Time (s)
1, 1, 0.003720, 0.004630, 0.008350
2, 1, 0.003690, 0.004590, 0.008280
3, 1, 0.003780, 0.004820, 0.008600
4, 1, 0.003780, 0.005850, 0.009630
5, 1, 0.003770, 0.006500, 0.010270
6, 1, 0.003500, 0.007440, 0.010940
7, 1, 0.003690, 0.008490, 0.012180
8, 1, 0.003600, 0.009430, 0.013030
9, 1, 0.003720, 0.010470, 0.014190
10, 1, 0.003560, 0.011740, 0.015300
11, 1, 0.003530, 0.012680, 0.016210
12, 1, 0.003580, 0.013720, 0.017300
13, 1, 0.003650, 0.014970, 0.018620
14, 1, 0.003520, 0.015730, 0.019250
15, 1, 0.003370, 0.017060, 0.020430
16, 1, 0.003490, 0.017040, 0.020530
17, 1, 0.003590, 0.018230, 0.021820
18, 1, 0.003690, 0.018540, 0.022230
19, 1, 0.003710, 0.019550, 0.023260
20, 1, 0.003610, 0.019850, 0.023460
21, 1, 0.003670, 0.021550, 0.025220
22, 1, 0.003740, 0.021590, 0.025330
23, 1, 0.003680, 0.022080, 0.025760
24, 1, 0.003660, 0.023480, 0.027140
25, 1, 0.003740, 0.024130, 0.027870
26, 1, 0.003750, 0.025640, 0.029390
27, 1, 0.003690, 0.026210, 0.029900
28, 1, 0.003620, 0.027910, 0.031530
29, 1, 0.003700, 0.029260, 0.032960
30, 1, 0.003600, 0.030250, 0.033850
31, 1, 0.003560, 0.030920, 0.034480
32, 1, 0.003620, 0.033850, 0.037470
33, 1, 0.003490, 0.034540, 0.038030
34, 1, 0.003560, 0.036110, 0.039670
35, 1, 0.003570, 0.036350, 0.039920
36, 1, 0.003730, 0.041480, 0.045210
37, 1, 0.003830, 0.039940, 0.043770
38, 1, 0.003610, 0.042490, 0.046100
39, 1, 0.003570, 0.045860, 0.049430
40, 1, 0.003520, 0.048180, 0.051700
41, 1, 0.003620, 0.051700, 0.055320
42, 1, 0.003640, 0.054420, 0.058060
43, 1, 0.003630, 0.057020, 0.060650
44, 1, 0.003750, 0.060020, 0.063770
