Array Size,	Pass/Fail,	Sequential Time,	Sequential Part Time,	Parallel Time
10,	PASSED,	0.000000,	0.000000,	0.014800
20,	PASSED,	0.000000,	0.000000,	0.020700
30,	PASSED,	0.000200,	0.000000,	0.021400
40,	PASSED,	0.000700,	0.000000,	0.021500
50,	PASSED,	0.001100,	0.000200,	0.021800
60,	PASSED,	0.001300,	0.000100,	0.022600
70,	PASSED,	0.001600,	0.000100,	0.023500
80,	PASSED,	0.002800,	0.000000,	0.023700
90,	PASSED,	0.002900,	0.000200,	0.024700
100,	PASSED,	0.004700,	0.000100,	0.025200
200,	PASSED,	0.017200,	0.000400,	0.041600
300,	PASSED,	0.038900,	0.001000,	0.066400
400,	PASSED,	0.069500,	0.001000,	0.100000
500,	PASSED,	0.107500,	0.003500,	0.141100
600,	PASSED,	0.155000,	0.003600,	0.193400
700,	PASSED,	0.210400,	0.004700,	0.253400
800,	PASSED,	0.279700,	0.007000,	0.329500
900,	PASSED,	0.344800,	0.007200,	0.400100
