Number of Threads,	Pass/Fail,	Sequential Time,	Sequential Part Time,	Parallel Time
1,	PASSED,	0.004000,	0.000200,	0.004500
2,	PASSED,	0.005300,	0.000000,	0.005400
3,	PASSED,	0.003300,	0.000100,	0.009200
4,	PASSED,	0.004500,	0.000000,	0.010200
5,	PASSED,	0.003800,	0.000300,	0.012600
6,	PASSED,	0.005600,	0.000000,	0.013500
7,	PASSED,	0.004600,	0.000000,	0.016800
8,	PASSED,	0.004200,	0.000200,	0.019300
9,	PASSED,	0.004500,	0.000200,	0.021900
10,	PASSED,	0.004100,	0.000000,	0.025600
11,	PASSED,	0.004800,	0.000000,	0.027500
12,	PASSED,	0.005200,	0.000000,	0.030400
13,	PASSED,	0.003800,	0.000000,	0.033200
14,	PASSED,	0.004700,	0.000000,	0.036100
15,	PASSED,	0.006000,	0.000100,	0.037300
16,	PASSED,	0.005100,	0.000100,	0.040800
17,	PASSED,	0.005300,	0.000100,	0.043600
18,	PASSED,	0.005500,	0.000000,	0.046600
19,	PASSED,	0.004900,	0.000100,	0.050100
20,	PASSED,	0.005400,	0.000000,	0.052500
21,	PASSED,	0.005100,	0.000000,	0.055800
22,	PASSED,	0.004400,	0.000200,	0.059400
23,	PASSED,	0.005200,	0.000000,	0.061300
24,	PASSED,	0.005100,	0.000100,	0.064400
25,	PASSED,	0.005100,	0.000000,	0.067400
26,	PASSED,	0.005400,	0.000000,	0.070000
27,	PASSED,	0.005400,	0.000000,	0.072300
28,	PASSED,	0.005700,	0.000000,	0.075300
29,	PASSED,	0.005200,	0.000000,	0.078600
30,	PASSED,	0.004700,	0.000000,	0.081900
31,	PASSED,	0.004600,	0.000000,	0.085100
32,	PASSED,	0.005100,	0.000000,	0.087600
33,	PASSED,	0.005200,	0.000000,	0.089500
34,	PASSED,	0.005400,	0.000100,	0.092600
35,	PASSED,	0.005700,	0.000100,	0.094100
36,	PASSED,	0.004700,	0.000000,	0.098500
37,	PASSED,	0.005600,	0.000000,	0.100300
38,	PASSED,	0.004600,	0.000000,	0.104200
39,	PASSED,	0.004700,	0.000100,	0.106800
40,	PASSED,	0.005700,	0.000000,	0.109000
41,	PASSED,	0.005300,	0.000000,	0.111900
42,	PASSED,	0.005200,	0.000000,	0.114500
43,	PASSED,	0.005100,	0.000200,	0.117200
44,	PASSED,	0.004500,	0.000100,	0.121000
45,	PASSED,	0.004700,	0.000100,	0.123200
46,	PASSED,	0.005000,	0.000000,	0.126100
47,	PASSED,	0.005200,	0.000000,	0.129100
48,	PASSED,	0.004800,	0.000000,	0.131500
49,	PASSED,	0.005200,	0.000000,	0.135100
50,	PASSED,	0.004800,	0.000200,	0.137200
51,	PASSED,	0.005000,	0.000100,	0.140400
52,	PASSED,	0.004100,	0.000300,	0.143200
53,	PASSED,	0.005600,	0.000000,	0.145300
54,	PASSED,	0.004900,	0.000000,	0.148500
55,	PASSED,	0.005000,	0.000100,	0.151500
56,	PASSED,	0.004600,	0.000100,	0.153700
57,	PASSED,	0.004800,	0.000000,	0.156400
58,	PASSED,	0.005200,	0.000100,	0.158900
59,	PASSED,	0.005200,	0.000100,	0.161000
60,	PASSED,	0.004500,	0.000000,	0.164600
61,	PASSED,	0.005300,	0.000100,	0.168100
62,	PASSED,	0.004800,	0.000000,	0.169700
63,	PASSED,	0.005000,	0.000000,	0.173300
64,	PASSED,	0.005000,	0.000000,	0.174800
65,	PASSED,	0.004600,	0.000000,	0.177300
66,	PASSED,	0.005300,	0.000000,	0.180800
67,	PASSED,	0.004800,	0.000100,	0.184500
68,	PASSED,	0.004600,	0.000000,	0.187000
69,	PASSED,	0.004200,	0.000000,	0.189400
70,	PASSED,	0.005600,	0.000100,	0.190400
71,	PASSED,	0.005000,	0.000000,	0.192900
72,	PASSED,	0.005300,	0.000000,	0.196100
73,	PASSED,	0.005400,	0.000000,	0.199000
74,	PASSED,	0.004200,	0.000200,	0.201700
75,	PASSED,	0.004400,	0.000200,	0.207400
76,	PASSED,	0.005600,	0.000000,	0.207500
77,	PASSED,	0.004600,	0.000000,	0.212100
78,	PASSED,	0.005000,	0.000000,	0.213700
79,	PASSED,	0.004600,	0.000000,	0.215200
80,	PASSED,	0.005900,	0.000000,	0.217200
81,	PASSED,	0.005600,	0.000100,	0.219600
82,	PASSED,	0.004500,	0.000000,	0.224200
83,	PASSED,	0.005000,	0.000000,	0.225900
84,	PASSED,	0.004800,	0.000000,	0.229900
85,	PASSED,	0.005100,	0.000000,	0.230700
86,	PASSED,	0.005200,	0.000100,	0.234900
87,	PASSED,	0.004400,	0.000200,	0.239500
88,	PASSED,	0.004800,	0.000000,	0.240700
89,	PASSED,	0.005100,	0.000000,	0.244100
90,	PASSED,	0.005000,	0.000100,	0.243100
91,	PASSED,	0.004900,	0.000100,	0.248300
92,	PASSED,	0.005700,	0.000000,	0.250800
93,	PASSED,	0.004500,	0.000300,	0.253600
94,	PASSED,	0.004600,	0.000100,	0.256400
95,	PASSED,	0.004700,	0.000000,	0.260400
96,	PASSED,	0.004800,	0.000200,	0.262100
97,	PASSED,	0.005200,	0.000000,	0.264700
98,	PASSED,	0.004900,	0.000000,	0.268900
99,	PASSED,	0.005400,	0.000000,	0.269400
100,	PASSED,	0.004100,	0.000000,	0.276100
